Sl.No,Name of the District,Name of the Stadium with contact details & Location,Contact No,Total Area of Capacity / Capacity as per Discipline,Unit,Ground Suitable for,Infrastructure / Game practicing over there,Game can be run over there
1,Ariyalur,"SDAT Dist. Sports Unit, Lakshmi Theatre Opp. Sendurai Road, Ariyalur- 621 704",04329-294395,15,Acres,All Discipline,"400 Mts. Athletic  Track (Mud), Football Field - 1 (Mud), Hockey Field - 1 (Mud), Basketball Court - 1 (Concrete), Volleyball Court (Mud) - 1, Kabaddi Court - 1, Ball Badminton Court - 1, Tennis Court - 1 (Synthetic) with flood light, Tennis Court - 1 (Mud), Gym Hall - 1, Swimming Pool 25mx13m, Skating Rink, Walkers Path, SDAT Sports Hostel for Boys, Multipurpose Indoor Stadium",All Disciplines
2,Ariyalur,"Mini Stadium at Jayamkondam Taluk, SDAT Dist. Sports Unit, Lakshmi Theatre Opp. Sendurai Road, Ariyalur- 621 704","
04329-294395",7.25,Acres,All Discipline,"400 Mts. Athletic  Track (Mud), Football Field - 1 (Mud), Volleyball Court - 1, Basketball Court - 1 (Concrete)",All Disciplines
3,Chennai,"SDAT Dist. Sports Unit, Shenoy Nagar Swimming Pool,
30, Cementry Salai, Chennai - 600 030",044-26644794,2.044,Acres,"Handball, Football, Swimming, Kho - Kho & Kabaddi ","Swimming Pool (36Mts x 18Mts.), Short Course Swimming Pool (25Mts.x16 Mts.), Baby Swimming Pool (6Mts x 3Mts.), Indoor Badminton Hall - 2 Courts, Volleyball Court - 1 (with floodlight)
Gym Hall -1","Handball, Football, Swimming, Kho - Kho & Kabaddi"
4,Chennai,"SDAT Jawaharlal Nehru Indoor Stadium (Multipurpose Indoor Stadium, Periamet), Chennai - 600 003",NA,11.23,Acres,All Indoor games,"Wooden Floor Indoor Hall with Seating capacity of 8000 (Centralized Air- condition facilities) (Volleyball, Basketball, Table Tennis, Badminton, Boxing, Wrestling, Weightlifting, Chess, Carrom, Handball and Non- Sports Activities),  Skating Rink (with Floodlight), 2 Concrete  Basketball  Courts  (With Floodlight),  Handball Court -1 (Mud), A  covered Fencing Hall (with Floodlight) (concrete), An Open Air Boxing Ring (Concrete), SDAT Sports Hostel for Girls, SDAT Centre of Excellence for Girls, SDAT Sports Hostel of Excellence for Girls",All Indoor games
5,Chennai,"SDAT Jawaharlal Nehru Stadium (Jawaharlal Nehru Stadium, Periamet) and SDAT Jawaharlal Nehru Stadium (Warm Up Track Area), Chennai 600 003",NA,21.372,Acres,All Disciplines,"Seating capacity of 40000, Football Field -1 (Natural Turf), 400 M 8-Lane Synthetic Athletic Track (with floodlight), 60 Mts Airconditioned Indoor Warm up Track , A Judo Hall, A Hall of Chess, A Hall of Carrom, A Weightlifting Hall, A Hall for Table Tennis, A Hall of Boxing, Beach Volleyball Court - 2, Volleyball Courts - 3 (With floodlight - 1 Court) (Mud), Throwball Court - 1, Kabaddi Court - 1, New Media Hall, Conference Hall, An air conditioned Fitness Centre, SAI Sports Hostels for Boys, SDAT Sports Hostels for Boys, SDAT Centre of Excellence for Boys, SDAT Sports Hostel of Excellence for Men, Media Hall, State Sports Facilitation Centre, Accommodation Centre, Shooting Range Training Centre and Football Field - 1 (Natural Turf), 400 Mts. 8-lane Synthetic Athletic Track (with Floodlight)",All Disciplines
7,Chennai,"SDAT Tennis Stadium, Nungambakkam, Chennai 600 034",NA,5.9,Acres,Tennis,"With a Seating capacity of 7000, A Synthetic Court in the centre, 6 additional Synthetic Courts, Floodlighting Facilities, A Fitness Centre (Air-conditioned), Dormitory facilities, Conference Hall ",Tennis
8,Chennai,"SDAT Aquatic Complex, Velachery, Chennai 600 032",NA,4.9,Acres,"Swimming, Gymnastics, Badminton ","With Seating capacity of 4000, An  8-lane  International  Racing Pool (50 x 25 M), A Diving Pool (18M x 25M x 5.5 Mtr Depth), A Warm up Pool (25M x 25M), A Fitness Centre ( Air-conditioned), Conference Hall, 
An Indoor Hall for Gymnastics, Indoor Badminton Hall (4 Courts)","Swimming, Gymnastics, Badminton "
9,Chennai,"MRK (Mayor Radhakrishnan) Hockey Stadium, Egmore, Chennai 600 008",NA,8.91,Acres,"Tennis 
","Seating capacity of 8670 (in gallery), Synthetic Hockey Field, A Fitness Centre, Tennis Courts - 4 (Mud), Volleyball Courts - 3 (With Floodlight), Multipurpose Conference Hall, Walking Path, Accommodation Centre","Tennis 
"
10,Chennai,"SDAT Nehru Park Sports Complex, Chennai 600 084.",NA,8.31,Acres,"Squash, Badminton, Kabaddi, Football, Basketball, Tennis","International Standard Squash Courts - 8 (On MoU basis with SDAT -TNSRA), 400 M Athletic Track (Shotput & Discus Throw), Football Field - 1 (Natural Turf), Concrete Basketball Court - 1, Synthetic Tennis Courts - 2, Indoor Badminton Hall - 3 Courts, Kabaddi Court - 1, Volleyball court - 1, Synthetic Hockey Court - 1, Accommodation Centre","Squash, Badminton, Kabaddi, Football, Basketball, Tennis"
11,Chennai,"Anna Swimming Pool, Marina, Chennai",NA,1.379,Acres,Swimming,"50 Mts. x 25 Mts. Swimming Pool, 25 Mts. x 15 Mts. Swimming Pool",Swimming
